,original data,,,,First added,,,,second added,,
,name,fad,model,,name,fad,,,,,
,,,,,model4_mmv_trained_07May_1714.p,40.08170358,,,,,
,,,,,model4_mmv_trained_07May_1724.p,40.61851516,,,,,
,,,,,model4_mmv_trained_07May_1734.p,37.25600937,,,,,
,,,,,model4_mmv_trained_07May_1739.p,43.27525131,,,,,
,,,,,model4_mmv_trained_07May_1745.p,39.77718778,,,,,
,,,,,model4_mmv_trained_07May_1750.p,39.51660691,,,,,
,,,,,model4_mmv_trained_07May_1800.p,38.95515916,,,,,
,,,,,model4_mmv_trained_07May_1805.p,40.79923197,,,,,
,,,,,model4_mmv_trained_07May_1811.p,40.114935,,,,,
,,,,,model4_mmv_trained_07May_1821.p,40.48505566,,,,,
,,,,,model4_mmv_trained_07May_1830.p,46.07939085,,,,,
,,,,,model4_mmv_trained_07May_1840.p,38.85351677,,,,,
,,,,,model4_mmv_trained_07May_1846.p,38.2224914,,,,,
,,,,,model4_mmv_trained_07May_1851.p,40.64693797,,,,,
,,,,,model4_mmv_trained_07May_1857.p,39.73589297,,,,,
,,,,,model4_mmv_trained_07May_1902.p,41.09019323,,,,,
,,,,,model4_mmv_trained_07May_1907.p,45.06865716,,,,,
,,,,,model4_mmv_trained_07May_1913.p,41.76021836,,,,,
,,,,,model4_mmv_trained_07May_1922.p,41.11662272,,,,,
,,,,,model4_mmv_trained_07May_1927.p,37.68684974,,,,,
,,,,,model4_mmv_trained_07May_1933.p,41.14968818,,,,,
,,,,,model4_mmv_trained_07May_1938.p,39.73316109,,,,,
,,,,,model4_mmv_trained_07May_1944.p,39.45879453,,,,,
,,,,,model4_mmv_trained_07May_1949.p,39.4235568,,,,,
,,,,,model4_mmv_trained_07May_1954.p,38.66779142,,,,,
